Date,City,Value
2010-03-01,Trincomalee,145
2010-04-01,Trincomalee,60
2010-05-01,Trincomalee,22
2010-06-01,Trincomalee,38
2010-07-01,Trincomalee,89
2010-08-01,Trincomalee,46
2010-09-01,Trincomalee,21
2010-10-01,Trincomalee,17
2010-11-01,Trincomalee,11
2010-12-01,Trincomalee,22
2010-01-01,Kurunegala,197
2010-02-01,Kurunegala,142
2010-03-01,Kurunegala,99
2010-04-01,Kurunegala,54
2010-05-01,Kurunegala,100
2010-06-01,Kurunegala,151
2010-07-01,Kurunegala,300
2010-08-01,Kurunegala,214
2010-09-01,Kurunegala,78
2010-10-01,Kurunegala,47
2010-11-01,Kurunegala,21
2010-12-01,Kurunegala,26
2010-01-01,Puttalama,208
2010-02-01,Puttalama,189
2010-03-01,Puttalama,86
2010-04-01,Puttalama,50
2010-05-01,Puttalama,51
2010-06-01,Puttalama,106
2010-07-01,Puttalama,137
2010-08-01,Puttalama,82
2010-09-01,Puttalama,49
2010-10-01,Puttalama,31
2010-11-01,Puttalama,25
2010-12-01,Puttalama,45
2010-01-01,Anuradapura,267
2010-02-01,Anuradapura,296
2010-03-01,Anuradapura,131
2010-04-01,Anuradapura,48
2010-05-01,Anuradapura,21
2010-06-01,Anuradapura,38
2010-07-01,Anuradapura,83
2010-08-01,Anuradapura,67
2010-09-01,Anuradapura,60
2010-10-01,Anuradapura,33
2010-11-01,Anuradapura,26
2010-12-01,Anuradapura,40
2010-01-01,Polonnaruwa,33
2010-02-01,Polonnaruwa,42
2010-03-01,Polonnaruwa,34
2010-04-01,Polonnaruwa,50
2010-05-01,Polonnaruwa,60
2010-06-01,Polonnaruwa,61
2010-07-01,Polonnaruwa,51
2010-08-01,Polonnaruwa,30
2010-09-01,Polonnaruwa,21
2010-10-01,Polonnaruwa,8
2010-11-01,Polonnaruwa,5
2010-12-01,Polonnaruwa,7
2010-01-01,Badulla,71
2010-02-01,Badulla,68
2010-03-01,Badulla,49
2010-04-01,Badulla,47
2010-05-01,Badulla,69
2010-06-01,Badulla,118
2010-07-01,Badulla,372
2010-08-01,Badulla,319
2010-09-01,Badulla,120
2010-10-01,Badulla,43
2010-11-01,Badulla,26
2010-12-01,Badulla,40
2010-01-01,Monaragala,50
2010-02-01,Monaragala,39
2010-03-01,Monaragala,55
2010-04-01,Monaragala,67
2010-05-01,Monaragala,53
